Country.Name,Indicator.Code,Value,Year
Colombia,PUBS.TOTL,6,1999
Costa Rica,PUBS.TOTL,15,1999
Cuba,PUBS.TOTL,0,1999
Ecuador,PUBS.TOTL,0,1999
El Salvador,PUBS.TOTL,0,1999
Guatemala,PUBS.TOTL,0,1999
Honduras,PUBS.TOTL,0,1999
Mexico,PUBS.TOTL,60,1999
Nicaragua,PUBS.TOTL,0,1999
Panama,PUBS.TOTL,18,1999
Paraguay,PUBS.TOTL,0,1999
Peru,PUBS.TOTL,3,1999
Uruguay,PUBS.TOTL,5,1999
Venezuela,PUBS.TOTL,7,1999
Canada,PUBS.TOTL,329,1999
United States,PUBS.TOTL,1836,1999
Argentina,PUBS.TOTL,42,2000
Bolivia,PUBS.TOTL,6,2000
Brazil,PUBS.TOTL,91,2000
Chile,PUBS.TOTL,37,2000
Colombia,PUBS.TOTL,9,2000
Costa Rica,PUBS.TOTL,12,2000
Cuba,PUBS.TOTL,0,2000
Ecuador,PUBS.TOTL,2,2000
El Salvador,PUBS.TOTL,0,2000
Guatemala,PUBS.TOTL,3,2000
Honduras,PUBS.TOTL,3,2000
Mexico,PUBS.TOTL,75,2000
Nicaragua,PUBS.TOTL,0,2000
Panama,PUBS.TOTL,17,2000
Paraguay,PUBS.TOTL,0,2000
Peru,PUBS.TOTL,3,2000
Uruguay,PUBS.TOTL,3,2000
Venezuela,PUBS.TOTL,15,2000
Canada,PUBS.TOTL,418,2000
United States,PUBS.TOTL,2045,2000
Argentina,PUBS.TOTL,47,2001
Bolivia,PUBS.TOTL,7,2001
Brazil,PUBS.TOTL,102,2001
Chile,PUBS.TOTL,34,2001
Colombia,PUBS.TOTL,14,2001
Costa Rica,PUBS.TOTL,14,2001
Cuba,PUBS.TOTL,2,2001
Ecuador,PUBS.TOTL,5,2001
El Salvador,PUBS.TOTL,0,2001
Guatemala,PUBS.TOTL,0,2001
Honduras,PUBS.TOTL,0,2001
Mexico,PUBS.TOTL,63,2001
Nicaragua,PUBS.TOTL,0,2001
Panama,PUBS.TOTL,29,2001
Paraguay,PUBS.TOTL,0,2001
Peru,PUBS.TOTL,13,2001
Uruguay,PUBS.TOTL,2,2001
Venezuela,PUBS.TOTL,15,2001
Canada,PUBS.TOTL,434,2001
United States,PUBS.TOTL,2038,2001
Argentina,PUBS.TOTL,57,2002
Bolivia,PUBS.TOTL,11,2002
Brazil,PUBS.TOTL,102,2002
Chile,PUBS.TOTL,51,2002
Colombia,PUBS.TOTL,20,2002
Costa Rica,PUBS.TOTL,19,2002
Cuba,PUBS.TOTL,0,2002
Ecuador,PUBS.TOTL,8,2002
El Salvador,PUBS.TOTL,0,2002
Guatemala,PUBS.TOTL,0,2002
Honduras,PUBS.TOTL,0,2002
Mexico,PUBS.TOTL,80,2002
Nicaragua,PUBS.TOTL,0,2002
Panama,PUBS.TOTL,25,2002
Paraguay,PUBS.TOTL,0,2002
Peru,PUBS.TOTL,5,2002
Uruguay,PUBS.TOTL,3,2002
Venezuela,PUBS.TOTL,6,2002
Canada,PUBS.TOTL,453,2002
United States,PUBS.TOTL,2239,2002
Argentina,PUBS.TOTL,82,2003
Bolivia,PUBS.TOTL,12,2003
Brazil,PUBS.TOTL,97,2003
Chile,PUBS.TOTL,49,2003
Colombia,PUBS.TOTL,12,2003
Costa Rica,PUBS.TOTL,17,2003
Cuba,PUBS.TOTL,0,2003
Ecuador,PUBS.TOTL,10,2003
El Salvador,PUBS.TOTL,0,2003
Guatemala,PUBS.TOTL,0,2003
Honduras,PUBS.TOTL,0,2003
Mexico,PUBS.TOTL,120,2003
Nicaragua,PUBS.TOTL,0,2003
Panama,PUBS.TOTL,27,2003
Paraguay,PUBS.TOTL,0,2003
Peru,PUBS.TOTL,7,2003
Uruguay,PUBS.TOTL,5,2003
Venezuela,PUBS.TOTL,18,2003
Canada,PUBS.TOTL,462,2003
United States,PUBS.TOTL,2553,2003
Argentina,PUBS.TOTL,101,2004
Bolivia,PUBS.TOTL,12,2004
Brazil,PUBS.TOTL,199,2004
Chile,PUBS.TOTL,51,2004
Colombia,PUBS.TOTL,13,2004
Costa Rica,PUBS.TOTL,17,2004
Cuba,PUBS.TOTL,0,2004
Ecuador,PUBS.TOTL,17,2004
El Salvador,PUBS.TOTL,0,2004
Guatemala,PUBS.TOTL,0,2004
Honduras,PUBS.TOTL,0,2004
Mexico,PUBS.TOTL,113,2004
Nicaragua,PUBS.TOTL,0,2004
Panama,PUBS.TOTL,30,2004
Paraguay,PUBS.TOTL,0,2004
Peru,PUBS.TOTL,16,2004
Uruguay,PUBS.TOTL,4,2004
Venezuela,PUBS.TOTL,17,2004
Canada,PUBS.TOTL,514,2004
United States,PUBS.TOTL,2722,2004
Argentina,PUBS.TOTL,90,2005
Bolivia,PUBS.TOTL,12,2005
Brazil,PUBS.TOTL,174,2005
Chile,PUBS.TOTL,59,2005
Colombia,PUBS.TOTL,28,2005
Costa Rica,PUBS.TOTL,23,2005
Cuba,PUBS.TOTL,2,2005
Ecuador,PUBS.TOTL,9,2005
El Salvador,PUBS.TOTL,2,2005
Guatemala,PUBS.TOTL,2,2005
Honduras,PUBS.TOTL,0,2005
Mexico,PUBS.TOTL,144,2005
Nicaragua,PUBS.TOTL,3,2005
Panama,PUBS.TOTL,34,2005
Paraguay,PUBS.TOTL,2,2005
Peru,PUBS.TOTL,11,2005
Uruguay,PUBS.TOTL,6,2005
Venezuela,PUBS.TOTL,18,2005
Canada,PUBS.TOTL,668,2005
United States,PUBS.TOTL,2747,2005
Argentina,PUBS.TOTL,108,2006
Bolivia,PUBS.TOTL,24,2006
Brazil,PUBS.TOTL,184,2006
Chile,PUBS.TOTL,73,2006
Colombia,PUBS.TOTL,15,2006
Costa Rica,PUBS.TOTL,16,2006
Cuba,PUBS.TOTL,3,2006
Ecuador,PUBS.TOTL,13,2006
El Salvador,PUBS.TOTL,0,2006
Guatemala,PUBS.TOTL,2,2006
Honduras,PUBS.TOTL,2,2006
Mexico,PUBS.TOTL,155,2006
Nicaragua,PUBS.TOTL,6,2006
Panama,PUBS.TOTL,46,2006
Paraguay,PUBS.TOTL,0,2006
Peru,PUBS.TOTL,13,2006
Uruguay,PUBS.TOTL,6,2006
Venezuela,PUBS.TOTL,24,2006
Canada,PUBS.TOTL,635,2006
United States,PUBS.TOTL,3163,2006
Argentina,PUBS.TOTL,96,2007
Bolivia,PUBS.TOTL,19,2007
Brazil,PUBS.TOTL,210,2007
Chile,PUBS.TOTL,75,2007
Colombia,PUBS.TOTL,20,2007
Costa Rica,PUBS.TOTL,21,2007
Cuba,PUBS.TOTL,3,2007
Ecuador,PUBS.TOTL,15,2007
El Salvador,PUBS.TOTL,0,2007
Guatemala,PUBS.TOTL,0,2007
Honduras,PUBS.TOTL,0,2007
Mexico,PUBS.TOTL,170,2007
Nicaragua,PUBS.TOTL,2,2007
Panama,PUBS.TOTL,58,2007
Paraguay,PUBS.TOTL,0,2007
Peru,PUBS.TOTL,24,2007
Uruguay,PUBS.TOTL,9,2007
Venezuela,PUBS.TOTL,11,2007
Canada,PUBS.TOTL,696,2007
United States,PUBS.TOTL,3024,2007
Argentina,PUBS.TOTL,129,2008
Bolivia,PUBS.TOTL,22,2008
Brazil,PUBS.TOTL,226,2008
Chile,PUBS.TOTL,76,2008
Colombia,PUBS.TOTL,23,2008
Costa Rica,PUBS.TOTL,26,2008
Cuba,PUBS.TOTL,0,2008
Ecuador,PUBS.TOTL,17,2008
El Salvador,PUBS.TOTL,2,2008
Guatemala,PUBS.TOTL,3,2008
Honduras,PUBS.TOTL,0,2008
Mexico,PUBS.TOTL,142,2008
Nicaragua,PUBS.TOTL,2,2008
Panama,PUBS.TOTL,57,2008
Paraguay,PUBS.TOTL,0,2008
Peru,PUBS.TOTL,10,2008
Uruguay,PUBS.TOTL,6,2008
Venezuela,PUBS.TOTL,12,2008
Canada,PUBS.TOTL,731,2008
United States,PUBS.TOTL,3147,2008
Argentina,PUBS.TOTL,129,2009
Bolivia,PUBS.TOTL,18,2009
Brazil,PUBS.TOTL,228,2009
Chile,PUBS.TOTL,78,2009
Colombia,PUBS.TOTL,16,2009
Costa Rica,PUBS.TOTL,32,2009
Cuba,PUBS.TOTL,2,2009
Ecuador,PUBS.TOTL,16,2009
El Salvador,PUBS.TOTL,2,2009
Guatemala,PUBS.TOTL,0,2009
Honduras,PUBS.TOTL,0,2009
Mexico,PUBS.TOTL,142,2009
Nicaragua,PUBS.TOTL,2,2009
Panama,PUBS.TOTL,56,2009
Paraguay,PUBS.TOTL,0,2009
Peru,PUBS.TOTL,13,2009
Uruguay,PUBS.TOTL,15,2009
Venezuela,PUBS.TOTL,14,2009
Canada,PUBS.TOTL,725,2009
United States,PUBS.TOTL,3183,2009
Argentina,PUBS.TOTL,141,2010
Bolivia,PUBS.TOTL,22,2010
Brazil,PUBS.TOTL,245,2010
Chile,PUBS.TOTL,85,2010
Colombia,PUBS.TOTL,31,2010
Costa Rica,PUBS.TOTL,20,2010
Cuba,PUBS.TOTL,2,2010
Ecuador,PUBS.TOTL,26,2010
El Salvador,PUBS.TOTL,2,2010
Guatemala,PUBS.TOTL,2,2010
